ID,Группа,Регрессии_шт,Фиксации_мс,Дисперсия_пкс,Время_с,Gaze_точек,Калибровка,Файл
101,Статика,3414,156,202,183,8672,63,101_B_20260504_091149.json
102,Статика,2229,142,241,119,5919,70,102_B_20260504_113628.json
107,Статика,4394,123,260,340,10428,67,107_B_20260427_111043.json
109,Заголовки,5946,108,210,319,16067,75,109_C_20260504_112326.json
113,Статика,4114,157,239,216,11209,65,113_B_20260504_093813.json
114,Параллакс,3449,137,282,276,9098,61,114_A_20260504_113241.json
14,Заголовки,5296,106,223,358,13398,57,14_C_20260427_103236.json
15,Заголовки,3481,112,270,214,8340,68,15_C_20260427_100727.json
16,Параллакс,3748,135,268,282,9007,73,16_A_20260504_095520.json
17,Параллакс,2978,110,232,230,7043,72,17_A_20260420_114012.json
18,Заголовки,2006,123,193,159,6115,63,18_C_20260504_114150.json
20,Статика,4075,129,236,353,10674,64,20_B_20260420_111933.json
23,Заголовки,5307,118,204,428,14023,77,23_C_20260427_104204.json
24,Статика,1284,117,202,87,2991,66,24_B_20260420_102609.json
26,Статика,6982,111,281,395,19058,67,26_B_20260504_101930.json
27,Параллакс,1287,129,253,104,3018,61,27_A_20260420_103123.json
28,Статика,4352,116,311,316,9735,72,28_B_20260420_104305.json
29,Параллакс,3525,136,217,278,8543,70,29_A_20260420_112836.json
30,Параллакс,5215,122,234,398,13758,69,30_A_20260427_091944.json
31,Параллакс,1075,134,279,75,2806,69,31_A_20260420_114640.json
33,Заголовки,6377,104,254,292,17153,78,33_C_20260504_092015.json
35,Заголовки,2729,115,226,178,6676,55,35_C_20260427_101952.json
36,Параллакс,4315,129,272,316,10332,75,36_A_20260427_094350.json
37,Параллакс,1910,138,206,358,4571,79,37_A_20260504_111130.json
40,Статика,3378,0,246,197,8974,64,40_B_20260504_105708.json
41,Параллакс,5657,133,211,318,13730,76,41_A_20260504_093015.json
43,Параллакс,4669,134,242,401,11514,67,43_A_20260420_111057.json
47,Заголовки,2933,125,184,185,6930,78,47_C_20260427_095955.json
49,Заголовки,3172,131,279,197,7384,61,49_C_20260427_101316.json
52,Заголовки,3274,106,202,158,8042,68,52_C_20260504_101047.json
53,Статика,6211,112,210,479,14486,66,53_B_20260427_113941.json
55,Статика,5927,121,254,472,14088,63,55_B_20260427_112909.json
57,Параллакс,4561,130,214,367,11355,67,57_A_20260504_105122.json
58,Статика,6933,112,237,383,17790,75,58_B_20260504_100458.json
60,Заголовки,6028,119,203,445,15652,70,60_C_20260427_115622.json
61,Статика,3616,116,183,306,9035,68,61_B_20260427_111917.json
62,Статика,3783,117,214,317,9602,71,62_B_20260420_101021.json
64,Заголовки,2362,120,236,156,6223,62,64_C_20260427_102423.json
65,Параллакс,2263,134,235,171,5286,60,65_A_20260420_113358.json
66,Статика,5429,116,216,396,13830,80,66_B_20260420_110121.json
67,Заголовки,3934,120,205,246,12634,82,67_C_20260504_102530.json
68,Заголовки,6318,121,164,484,17721,63,68_C_20260429_121543.json
6,Параллакс,1938,139,283,148,4840,72,6_A_20260427_090957.json
71,Параллакс,1385,133,192,122,3545,73,71_A_20260420_105039.json
74,Заголовки,6033,114,353,354,13910,67,74_C_20260427_105358.json
76,Заголовки,8092,120,230,437,21843,63,76_C_20260504_104308.json
79,Статика,3036,141,212,179,8403,71,79_B_20260504_103100.json
7,Параллакс,2180,131,211,188,5850,80,7_A_20260420_095649.json
83,Заголовки,4234,102,238,218,11151,63,83_C_20260504_110300.json
85,Заголовки,3718,0,296,216,8785,63,85_C_20260427_095458.json
86,Статика,4606,119,217,372,11525,65,86_B_20260427_110213.json
8,Статика,3435,125,210,285,8741,76,8_B_20260420_094546.json
91,Статика,3678,118,281,180,9068,75,91_B_20260504_111622.json
93,Параллакс,3324,131,212,287,8473,71,93_A_20260420_093320.json
97,Заголовки,3899,122,214,209,10348,79,97_C_20260504_094849.json
